alt; T; H; rho; P; mu
393000; 40.36489534535483; 1181.280944106516; 3.980986934324254e-145; 3.2711478507183676e-140; 4.521039284080764e-06
394000; 40.16357458993467; 1175.3892808184967; 3.2082282671577436e-146; 2.636177705141942e-141; 4.5052433056737515e-06
395000; 39.963257925971114; 1169.5270023237163; 2.542174581631807e-147; 2.088886262639118e-142; 4.4895025165535735e-06
396000; 39.76394034553714; 1163.693962064907; 1.9804552698201767e-148; 1.6273256120132922e-143; 4.473816723895364e-06
397000; 39.56561686568283; 1157.8900142157584; 1.5166938788495947e-149; 1.2462562685699214e-144; 4.458185735547969e-06
398000; 39.36828252831088; 1152.1150136772717; 1.1417143417408899e-150; 9.38138325177395e-146; 4.442609360031585e-06
399000; 39.171932400052555; 1146.3688160741328; 8.446887715189864e-152; 6.940745862933331e-147; 4.427087406535416e-06
400000; 38.97656157214446; 1140.6512777511034; 6.141416639070006e-153; 5.046357139745279e-148; 4.41161968491534e-06
401000; 38.782165160305695; 1134.9622557694263; 4.38758483328336e-154; 3.605246370816236e-149; 4.396206005691573e-06
402000; 38.588738304615845; 1129.3016079032564; 3.079781323096773e-155; 2.530633790547882e-150; 4.380846180046351e-06
403000; 38.396276169393424; 1123.6691926361011; 2.1237510233163407e-156; 1.745070684729943e-151; 4.365540019821616e-06
404000; 38.20477394307506; 1118.064869157287; 1.4385613074523483e-157; 1.1820553060413708e-152; 4.350287337516719e-06
405000; 38.014226838095105; 1112.488497358434; 9.570741797824266e-159; 7.864208543816158e-154; 4.335087946286105e-06
406000; 37.82463009076602; 1106.9399378299574; 6.253258478093567e-160; 5.138256760964311e-155; 4.319941659937046e-06
407000; 37.63597896115922; 1101.419051857579; 4.012005577830215e-161; 3.2966356432458626e-156; 4.304848292927341e-06
408000; 37.44826873298667; 1095.9257014188634; 2.527327702307607e-162; 2.0766866904746153e-157; 4.28980766036306e-06
409000; 37.261494713482875; 1090.4597491797629; 1.5629917553006272e-163; 1.2842988950703592e-158; 4.274819577996262e-06
410000; 37.07565223328763; 1085.0210584911863; 9.488484116302825e-165; 7.796618008465756e-160; 4.2598838622227525e-06
411000; 36.890736646329216; 1079.6094933855834; 5.653685142810042e-166; 4.645591736080561e-161; 4.2450003300798245e-06
412000; 36.706743329708374; 1074.224918573545; 3.306057124800383e-167; 2.7165629620381126e-162; 4.230168799244026e-06
413000; 36.52366768358259; 1068.8671994404206; 1.8970642919408106e-168; 1.5588038553334516e-163; 4.215389088028917e-06
414000; 36.341505131051164; 1063.536202042952; 1.068059411146985e-169; 8.77616607351672e-165; 4.200661015382851e-06
415000; 36.1602511180408; 1058.231793105927; 5.899277619893732e-171; 4.847393278466501e-166; 4.185984400886752e-06
416000; 35.97990111319174; 1052.953840018846; 3.196247534459079e-172; 2.6263332246993253e-167; 4.171359064751913e-06
417000; 35.800450607744466; 1047.7022108326073; 1.698509187094977e-173; 1.3956525777280008e-168; 4.1567848278177805e-06
418000; 35.621895115426994; 1042.476774256207; 8.85174263923582e-175; 7.273412193291551e-170; 4.142261511549769e-06
419000; 35.44423017234271; 1037.2773996534586; 4.523454087495515e-176; 3.716889143381689e-171; 4.127788938037075e-06
420000; 35.26745133685879; 1032.1039570397265; 2.2664124825959367e-177; 1.8622945625274744e-172; 4.11336692999049e-06
421000; 35.09155418949515; 1026.9563170786762; 1.113221508585154e-178; 9.147259725432653e-174; 4.098995310740237e-06
422000; 34.916534332813924; 1021.8343510790397; 5.3597468966214805e-180; 4.4040648287768936e-175; 4.084673904233798e-06
423000; 34.742387391309585; 1016.737930991401; 2.5291401605423585e-181; 2.0781759741514858e-176; 4.070402535033766e-06
424000; 34.56910901129954; 1011.6669294049923; 1.1695343436314509e-182; 9.609978172813893e-178; 4.05618102831569e-06
425000; 34.39669486081525; 1006.6212195445096; 5.299193053704991e-184; 4.354308178886599e-179; 4.042009209865933e-06
426000; 34.225140629493986; 1001.6006752669442; 2.352383207721623e-185; 1.9329360786537575e-180; 4.0278869060795454e-06
